link;model;waist;weight;hips;bust;height;attractive
http://www.maxmodels.pl/modelka-emiliazaluska.html;emiliazaluska;68;54;84;82;166;0
http://www.maxmodels.pl/modelka-94kinga.html;94kinga;64;47;90;85;166;1
http://www.maxmodels.pl/modelka-shadow333ona.html;shadow333ona;62;47;92;89;166;0
http://www.maxmodels.pl/modelka-malcat.html;malcat;65;51;90;90;166;0
http://www.maxmodels.pl/modelka-izabela1988.html;izabela1988;65;52;90;90;166;1
http://www.maxmodels.pl/modelka-annnuszka.html;Annnuszka;68;61;89;92;166;1
http://www.maxmodels.pl/modelka-ewelina_wrobel.html;ewelina_wrobel;80;71;93;96;166;0
http://www.maxmodels.pl/modelka-justyna_badura.html;justyna_badura;62;51;84;77;167;1
http://www.maxmodels.pl/modelka-natiii716.html;natiii716;60;48;80;78;167;0
http://www.maxmodels.pl/modelka-emiliajamik.html;EmiliaJamik;61;47;80;79;167;0
http://www.maxmodels.pl/modelka-ladyss42.html;LADySS42;60;48;83;80;167;1
http://www.maxmodels.pl/modelka-mini_.html;Mini_;73;56;86;80;167;1
http://www.maxmodels.pl/modelka-qeengunia.html;QeenGunia;68;53;89;84;167;0
http://www.maxmodels.pl/modelka-martynaq.html;martynaQ;61;48;90;84;167;1
http://www.maxmodels.pl/modelka-dbielaszka.html;DBielaszka;60;50;85;85;167;1
http://www.maxmodels.pl/modelka-someoneelse.html;someoneelse;60;50;88;85;167;1
http://www.maxmodels.pl/modelka-agnesska.html;agnesska;66;55;90;85;167;1
http://www.maxmodels.pl/modelka-dooti.html;dooti;66;52;83;86;167;0
http://www.maxmodels.pl/modelka-agatax17.html;agatax17;69;57;89;87;167;0
http://www.maxmodels.pl/modelka-tiziana.html;Tiziana;65;57;93;87;167;0
http://www.maxmodels.pl/modelka-d00ris.html;d00ris;68;51;95;87;167;1
http://www.maxmodels.pl/modelka-dea2000.html;Dea2000;62;43;83;91;167;1
http://www.maxmodels.pl/modelka-buunny.html;buunny;68;55;92;91;167;1
http://www.maxmodels.pl/modelka-justyska258.html;justyska258;59;52;81;75;168;1
http://www.maxmodels.pl/modelka-wu_du.html;wu_du;63;52;83;75;168;0
http://www.maxmodels.pl/modelka-lisia.html;lisia;58;42;80;80;168;0
http://www.maxmodels.pl/modelka-aleksa_p.html;Aleksa_P;60;47;85;80;168;1
http://www.maxmodels.pl/modelka-glampaula1.html;glampaula1;64;54;85;80;168;1
http://www.maxmodels.pl/modelka-slavicgirl.html;slavicgirl;60;49;91;80;168;1
http://www.maxmodels.pl/modelka-angelikawargocka.html;angelikawargocka;59;46;81;81;168;1
http://www.maxmodels.pl/modelka-sweetsweets.html;Sweetsweets;59;46;86;83;168;1
http://www.maxmodels.pl/modelka-nikabocian.html;NikaBocian;58;47;84;84;168;1
http://www.maxmodels.pl/modelka-violetatruchan.html;VioletaTruchan;64;48;84;84;168;1
http://www.maxmodels.pl/modelka-careffuly.html;careffuly;73;58;90;90;168;0
http://www.maxmodels.pl/modelka-anndziaa.html;Anndziaa;64;52;87;75;169;0
http://www.maxmodels.pl/modelka-myszka98.html;myszka98;57;52;82;76;169;0
http://www.maxmodels.pl/modelka-cocktailgirl.html;cocktailgirl;64;50;82;79;169;1
http://www.maxmodels.pl/modelka-keto.html;keto;63;52;81;82;169;0
http://www.maxmodels.pl/modelka-mikoturowska.html;mikoturowska;64;49;90;83;169;1
http://www.maxmodels.pl/modelka-as2o.html;AS2o;60;53;90;84;169;0
http://www.maxmodels.pl/modelka-eembrouille.html;eembrouille;63;52;93;87;169;1
http://www.maxmodels.pl/modelka-natala05.html;natala05;77;70;93;90;169;0
http://www.maxmodels.pl/modelka-makamida.html;makamida;72;58;99;92;169;0
http://www.maxmodels.pl/modelka-nataliaooo.html;Nataliaooo;76;64;96;94;169;0
http://www.maxmodels.pl/modelka-naomka.html;naomka;66;58;85;75;170;0
http://www.maxmodels.pl/modelka-alexis92.html;Alexis92;80;48;96;75;170;0
http://www.maxmodels.pl/modelka-malina28.html;malina28;59;47;80;77;170;0
http://www.maxmodels.pl/modelka-zebriii.html;Zebriii;63;48;83;77;170;0
